sample_id,label,bandit_high,bandit_medium,bandit_low,bandit_conf_high,bandit_conf_medium,bandit_conf_low,semgrep_high,semgrep_medium,semgrep_low,total_bandit,total_semgrep
examples/colors/colors.py,0,0,0,0,0,0,0,0,0,0,0,0
sample_79,1,0,1,1,2,0,0,0,1,0,2,1
sample_5,1,0,0,0,0,0,0,1,0,0,0,1
examples/completion/completion.py,0,0,0,0,0,0,0,0,0,0,0,0
rich/_ratio.py,0,0,0,1,1,0,0,0,0,0,1,0
sample_72,1,0,0,0,0,0,0,0,1,0,0,1
sample_50,1,0,0,0,0,0,0,0,0,0,0,0
docs_src/commands/help/tutorial005_py310.py,0,0,0,0,0,0,0,0,0,0,0,0
docs_src/commands/help/tutorial004_an_py310.py,0,0,0,0,0,0,0,0,0,0,0,0
sample_49,1,2,0,0,2,0,0,0,0,1,2,1
examples/exception.py,0,0,0,0,0,0,0,0,0,0,0,0
sample_7,1,0,1,0,1,0,0,0,1,0,1,1
sample_61,1,0,0,1,1,0,0,0,0,0,1,0
sample_113,1,0,0,1,0,1,0,0,0,0,1,0
examples/repo/repo.py,0,0,0,0,0,0,0,0,0,0,0,0
examples/live_progress.py,0,0,0,0,0,0,0,0,0,0,0,0
docs_src/commands/help/tutorial007_py310.py,0,0,0,0,0,0,0,0,0,0,0,0
rich/_loop.py,0,0,0,0,0,0,0,0,0,0,0,0
rich/_null_file.py,0,0,0,0,0,0,0,0,0,0,0,0
docs_src/options/version/tutorial003_an_py310.py,0,0,0,0,0,0,0,0,0,0,0,0
sample_8,1,0,0,0,0,0,0,1,1,0,0,2
sample_13,1,0,0,0,0,0,0,0,1,0,0,1
examples/listdir.py,0,0,0,0,0,0,0,0,0,0,0,0
examples/top_lite_simulator.py,0,0,0,5,5,0,0,0,0,0,5,0
sample_3,1,0,1,1,2,0,0,1,1,0,2,2
sample_17,1,0,1,1,0,2,0,1,1,0,2,2
sample_54,1,1,0,0,1,0,0,0,1,0,1,1
sample_118,1,0,1,0,0,0,1,1,0,0,1,1
rich/_emoji_replace.py,0,0,0,0,0,0,0,0,0,0,0,0
sample_6,1,0,0,0,0,0,0,0,0,0,0,0
examples/downloader.py,0,0,1,0,1,0,0,0,1,0,1,1
examples/naval/naval.py,0,0,0,0,0,0,0,0,0,0,0,0
sample_2,1,0,0,0,0,0,0,0,1,0,0,1
sample_98,1,0,1,1,2,0,0,0,0,0,2,0
sample_80,1,0,0,0,0,0,0,0,2,0,0,2
src/click/exceptions.py,0,0,0,0,0,0,0,0,0,0,0,0
sample_73,1,0,0,0,0,0,0,0,0,0,0,0
examples/export.py,0,0,0,0,0,0,0,0,0,0,0,0
sample_64,1,0,0,0,0,0,0,0,0,0,0,0
examples/fullscreen.py,0,0,0,0,0,0,0,0,0,0,0,0
sample_89,1,0,0,0,0,0,0,1,0,0,0,1
rich/_unicode_data/unicode15-1-0.py,0,0,0,0,0,0,0,0,0,0,0,0
docs_src/commands/help/tutorial005_an_py310.py,0,0,0,0,0,0,0,0,0,0,0,0
sample_87,1,0,0,0,0,0,0,1,0,0,0,1
docs_src/options_autocompletion/tutorial004_an_py310.py,0,0,0,0,0,0,0,0,0,0,0,0
sample_59,1,0,0,1,1,0,0,0,0,0,1,0
sample_85,1,1,0,1,1,1,0,0,1,0,2,1
docs_src/options/version/tutorial003_py310.py,0,0,0,0,0,0,0,0,0,0,0,0
sample_67,1,0,1,0,1,0,0,0,0,0,1,0
docs_src/options/version/tutorial002_an_py310.py,0,0,0,0,0,0,0,0,0,0,0,0
sample_27,1,1,1,0,1,1,0,3,0,0,2,3
sample_84,1,0,0,1,0,1,0,0,0,0,1,0
rich/_unicode_data/unicode13-0-0.py,0,0,0,0,0,0,0,0,0,0,0,0
examples/tree.py,0,0,0,0,0,0,0,0,0,0,0,0
sample_53,1,1,1,0,2,0,0,0,1,0,2,1
rich/_unicode_data/unicode10-0-0.py,0,0,0,0,0,0,0,0,0,0,0,0
sample_1,1,0,1,1,2,0,0,0,0,0,2,0
sample_78,1,0,0,1,1,0,0,0,1,0,1,1
rich/__main__.py,0,0,0,0,0,0,0,0,0,0,0,0
examples/validation/validation.py,0,0,0,0,0,0,0,0,0,0,0,0
examples/inout/inout.py,0,0,0,0,0,0,0,0,0,0,0,0
examples/dynamic_progress.py,0,0,0,0,0,0,0,0,0,0,0,0
docs_src/options/help/tutorial002_py310.py,0,0,0,0,0,0,0,0,0,0,0,0
docs_src/commands/callback/tutorial001_py310.py,0,0,0,0,0,0,0,0,0,0,0,0
examples/layout.py,0,0,0,0,0,0,0,0,0,0,0,0
rich/_unicode_data/unicode17-0-0.py,0,0,0,0,0,0,0,0,0,0,0,0
sample_23,1,0,1,0,1,0,0,0,1,0,1,1
sample_117,1,0,1,0,0,0,1,0,2,0,1,2
src/click/_winconsole.py,0,0,0,2,2,0,0,0,0,0,2,0
sample_14,1,0,0,0,0,0,0,0,1,0,0,1
docs_src/options_autocompletion/tutorial004_py310.py,0,0,0,0,0,0,0,0,0,0,0,0
examples/termui/termui.py,0,0,0,2,2,0,0,0,0,0,2,0
